([0.75, 0.0, 0.25], '->', [298, 397])
([0.75, 0.01, 0.24], '->', [316, 397])
([0.75, 0.02, 0.23], '->', [315, 397])
([0.75, 0.03, 0.22], '->', [319, 397])
([0.75, 0.04, 0.21], '->', [320, 397])
([0.75, 0.05, 0.2], '->', [322, 397])
([0.75, 0.06, 0.19], '->', [319, 397])
([0.75, 0.07, 0.18], '->', [324, 397])
([0.75, 0.08, 0.17], '->', [324, 397])
([0.75, 0.09, 0.16], '->', [333, 397])
([0.75, 0.1, 0.15], '->', [334, 397])
([0.75, 0.11, 0.14], '->', [334, 397])
([0.75, 0.12, 0.13], '->', [332, 397])
([0.75, 0.13, 0.12], '->', [334, 397])
([0.75, 0.14, 0.11], '->', [333, 397])
([0.75, 0.15, 0.1], '->', [337, 397])
([0.75, 0.16, 0.09], '->', [337, 397])
([0.75, 0.17, 0.08], '->', [332, 397])
([0.75, 0.18, 0.07], '->', [334, 397])
([0.75, 0.19, 0.06], '->', [329, 397])
([0.75, 0.2, 0.05], '->', [331, 397])
([0.75, 0.21, 0.04], '->', [330, 397])
([0.75, 0.22, 0.03], '->', [324, 397])
([0.75, 0.23, 0.02], '->', [318, 397])
([0.75, 0.24, 0.01], '->', [315, 397])
([0.75, 0.25, 0.0], '->', [287, 397])
([0.76, 0.0, 0.24], '->', [297, 397])
([0.76, 0.01, 0.23], '->', [314, 397])
([0.76, 0.02, 0.22], '->', [317, 397])
([0.76, 0.03, 0.21], '->', [318, 397])
([0.76, 0.04, 0.2], '->', [320, 397])
([0.76, 0.05, 0.19], '->', [318, 397])
([0.76, 0.06, 0.18], '->', [323, 397])
([0.76, 0.07, 0.17], '->', [322, 397])
([0.76, 0.08, 0.16], '->', [333, 397])
([0.76, 0.09, 0.15], '->', [330, 397])
([0.76, 0.1, 0.14], '->', [331, 397])
([0.76, 0.11, 0.13], '->', [332, 397])
([0.76, 0.12, 0.12], '->', [332, 397])
([0.76, 0.13, 0.11], '->', [333, 397])
([0.76, 0.14, 0.1], '->', [337, 397])
([0.76, 0.15, 0.09], '->', [333, 397])
([0.76, 0.16, 0.08], '->', [332, 397])
([0.76, 0.17, 0.07], '->', [336, 397])
([0.76, 0.18, 0.06], '->', [332, 397])
([0.76, 0.19, 0.05], '->', [331, 397])
([0.76, 0.2, 0.04], '->', [328, 397])
([0.76, 0.21, 0.03], '->', [326, 397])
([0.76, 0.22, 0.02], '->', [320, 397])
([0.76, 0.23, 0.01], '->', [314, 397])
([0.76, 0.24, 0.0], '->', [286, 397])
([0.77, 0.0, 0.23], '->', [304, 397])
([0.77, 0.01, 0.22], '->', [321, 397])
([0.77, 0.02, 0.21], '->', [320, 397])
([0.77, 0.03, 0.2], '->', [320, 397])
([0.77, 0.04, 0.19], '->', [325, 397])
([0.77, 0.05, 0.18], '->', [325, 397])
([0.77, 0.06, 0.17], '->', [336, 397])
([0.77, 0.07, 0.16], '->', [334, 397])
([0.77, 0.08, 0.15], '->', [334, 397])
([0.77, 0.09, 0.14], '->', [332, 397])
([0.77, 0.1, 0.13], '->', [334, 397])
([0.77, 0.11, 0.12], '->', [334, 397])
([0.77, 0.12, 0.11], '->', [333, 397])
([0.77, 0.13, 0.1], '->', [337, 397])
([0.77, 0.14, 0.09], '->', [333, 397])
([0.77, 0.15, 0.08], '->', [333, 397])
([0.77, 0.16, 0.07], '->', [333, 397])
([0.77, 0.17, 0.06], '->', [329, 397])
([0.77, 0.18, 0.05], '->', [330, 397])
([0.77, 0.19, 0.04], '->', [325, 397])
([0.77, 0.2, 0.03], '->', [325, 397])
([0.77, 0.21, 0.02], '->', [318, 397])
([0.77, 0.22, 0.01], '->', [314, 397])
([0.77, 0.23, 0.0], '->', [287, 397])
([0.78, 0.0, 0.22], '->', [305, 397])
([0.78, 0.01, 0.21], '->', [320, 397])
